Year,GDP,ARIMAF,Lower,Upper
1970,637976080854.0,0.0,0.0,0.0
1971,724266897066.0,788460107865.6022,709614097079.042,867306118652.1625
1972,873936884776.0,643400870715.3208,579060783643.7887,707740957786.8529
1973,1134325814453.0,975632774864.6061,878069497378.1455,1073196052351.0668
1974,1285878283181.0,1139769544385.6182,1025792589947.0564,1253746498824.1802
1975,1493975444589.0,1328716607705.196,1195844946934.6765,1461588268475.7158
1976,1558770195965.0,1527474111612.3691,1374726700451.1323,1680221522773.6062
1977,1771505277323.0,1554492112010.9136,1399042900809.8223,1709941323212.0051
1978,2170271189743.0,1841434434102.5088,1657290990692.258,2025577877512.7598
1979,2628241801137.0,2244263939179.664,2019837545261.6978,2468690333097.631
1980,2942175001616.0,2717952533559.987,2446157280203.9883,2989747786915.986
1981,2558130327484.0,2975046275350.0986,2677541647815.089,3272550902885.109
1982,2475971086143.0,2413064179848.702,2171757761863.832,2654370597833.5728
1983,2415660875601.0,2556743335968.068,2301069002371.261,2812417669564.875
1984,2317446505445.0,2337292340987.361,2103563106888.6248,2571021575086.097
1985,2381001972113.0,2344132733154.872,2109719459839.385,2578546006470.3594
1986,3343588519150.0,2381396478559.728,2143256830703.7554,2619536126415.701
1987,4133772642688.0,3646409653615.5327,3281768688253.9795,4011050618977.0864
1988,4544178702811.0,4159976014309.3984,3743978412878.4585,4575973615740.339
1989,4647983485688.0,4654149915718.244,4188734924146.42,5119564907290.069
1990,5906235183267.0,4599824935063.34,4139842441557.006,5059807428569.674
1991,6134002565558.0,6337857472352.934,5704071725117.641,6971643219588.228
1992,6747284436682.0,5888414854650.54,5299573369185.486,6477256340115.595
1993,6166917841620.0,7120950315845.492,6408855284260.943,7833045347430.042
1994,6519941169144.0,5709459065699.818,5138513159129.837,6280404972269.801
1995,7518720993811.0,6967411527720.548,6270670374948.493,7664152680492.604
1996,7612904730323.0,7504271196878.341,6753844077190.507,8254698316566.176
1997,6949616127344.0,7653185710767.51,6887867139690.759,8418504281844.262
1998,7148883205588.0,6711136239502.009,6040022615551.808,7382249863452.21
1999,7109560644733.0,7386952148842.303,6648256933958.072,8125647363726.533
2000,6471217709592.0,6922159712715.725,6229943741444.152,7614375683987.298
2001,6591061072511.0,6407975409894.1045,5767177868904.694,7048772950883.516
2002,7161908436845.0,6675292393764.388,6007763154387.949,7342821633140.827
2003,8841164251181.0,7279742663995.416,6551768397595.875,8007716930394.958
2004,10147694477632.0,9283328498194.164,8354995648374.748,10211661348013.582
2005,10529478871284.0,10234054918789.271,9210649426910.344,11257460410668.2
2006,11180121523970.0,10586212668428.432,9527591401585.588,11644833935271.275
2007,12872139993418.0,11343298014295.496,10208968212865.947,12477627815725.047
2008,14126881442427.0,13284989399657.223,11956490459691.5,14613488339622.945
2009,12912400424054.0,14218484855262.727,12796636369736.455,15640333340789.0
2010,12647259733068.0,12462622075610.959,11216359868049.863,13708884283172.057
2011,13637263953285.0,12894426352009.744,11604983716808.77,14183868987210.719
2012,12656624498248.0,13767305761602.682,12390575185442.414,15144036337762.951
2013,13214627769312.0,12252223628902.443,11027001266012.2,13477445991792.69
2014,13510792508047.0,13687639559682.91,12318875603714.62,15056403515651.203
2015,11705356741420.0,13256314977539.262,11930683479785.336,14581946475293.19
2016,11991516461779.0,11323913409741.557,10191522068767.4,12456304750715.713
2017,12701546701485.0,12362048352653.316,11125843517387.984,13598253187918.648
2018,13714329006369.0,12652732768514.568,11387459491663.111,13918006045366.025
2019,13441748307935.0,14069136168738.775,12662222551864.898,15476049785612.654
2020,13117252915341.0,13095074204709.395,11785566784238.455,14404581625180.336
2021,14596717166374.0,13269931006798.342,11942937906118.508,14596924107478.178
2022,,14950352068575.896,13455316861718.307,16445387275433.488
2023,,14801732603969.135,13321559343572.22,16281905864366.049
2024,,14864191781845.729,13377772603661.156,16350610960030.303
2025,,14837942535750.393,13354148282175.354,16321736789325.434
2026,,14848974107794.695,13364076697015.227,16333871518574.166
