Country,Year,Exchange_Rate,Population,Currency,GNI_pc,Agriculture_Hunting_Forestry_Fishing,Inventory_Changes,Construction,Exports,Consumption,Gov_Consumption,GCF,GFCF,HH_Consumption,Imports,Manufacturing,Other_Activities,Total_Value_Added,Transport_Storage_Communication,Wholesale_RetailTrade_Restaurants_Hotels,GNI,GDP,Continent,Mining_Utilities,GDP_pc,GDP_growth,SNE,IAC,TCC,Exp/GDP,IDH,Unemployment
Afghanistan,1970,0.044998427,10752971,Afghani,164,869917407.0,,46793902.0,165618722.0,1663221269.0,112126986.0,94611818.0,94611818.0,1551094283.0,195277226.0,370146827.0,127747843.0,1731454254.0,83917200.0,226387091.0,1766527525.0,1731435587.0,Asia,6543984.0,161.01927430102805,,-29658504.0,20.843740922832264,84.81210297405597,9.565398981255893,,
Afghanistan,1971,0.044998427,11015857,Afghani,168,910828104.0,,48994113.0,193580300.0,1796541240.0,121114833.0,99012350.0,99012350.0,1675426407.0,276296480.0,387549502.0,133754097.0,1812857077.0,87860382.0,237019196.0,1850121913.0,1812837521.0,Asia,6851662.0,164.56618136927523,4.701412782039571,-82716180.0,25.919409464826494,70.06252848389526,10.678303916239386,,
Afghanistan,1972,0.044998427,11286753,Afghani,149,827945340.0,,44535223.0,227654380.0,1607159399.0,108347543.0,103456794.0,103456794.0,1498811856.0,290370350.0,352284669.0,121582672.0,1647917912.0,79864525.0,215477287.0,1683947905.0,1647900178.0,Asia,6228196.0,146.00303364484012,-9.098297066855555,-62715970.0,31.435443536920353,78.40138636744419,13.814816154477047,,
Afghanistan,1973,0.044998427,11575305,Afghani,150,855486925.0,,46018542.0,226913554.0,1617037233.0,109013455.0,121728433.0,121728433.0,1508023800.0,262962880.0,364010279.0,125630236.0,1702734673.0,82528885.0,222624293.0,1739998153.0,1702716294.0,Asia,6435514.0,147.09904352412312,3.326422117784378,-36049326.0,28.770291077040692,86.29109705521935,13.326562669282826,,
Afghanistan,1974,0.044998427,11869879,Afghani,177,1035913365.0,,55721659.0,284938449.0,1907408182.0,128588961.0,175061875.0,175061875.0,1778819221.0,305679151.0,440760406.0,152119162.0,2061751510.0,99918604.0,269525910.0,2106420227.0,2061729287.0,Asia,7792384.0,173.69421263687693,21.084721762814105,-20740702.0,28.646709523120823,93.21487843310582,13.820361906708465,,
Afghanistan,1975,0.044998427,12157386,Afghani,195,1165441381.0,,62686658.0,300493815.0,2131358499.0,143686711.0,221728484.0,221728484.0,1987671788.0,333827202.0,495891889.0,171142804.0,2319778374.0,112416374.0,303432162.0,2369877014.0,2319753506.0,Asia,8767129.0,190.81022071685476,12.514941734928176,-33333387.0,27.344328410727275,90.01477806473062,12.953695908758334,,
Afghanistan,1976,0.044998427,12425267,Afghani,207,1262891632.0,,67941997.0,329382802.0,2232098998.0,150478171.0,322716302.0,322716302.0,2081620805.0,370617399.0,537391228.0,185472327.0,2513608060.0,121865126.0,328544951.0,2568148611.0,2513580659.0,Asia,9500755.0,202.29590712215682,8.35550641474061,-41234597.0,27.848726417177605,88.87407954638417,13.104127007845504,,
Afghanistan,1977,0.044998427,12687301,Afghani,231,1439687056.0,,77430595.0,342962988.0,2584198550.0,174215156.0,362716078.0,362716078.0,2409983394.0,424938409.0,612470141.0,211382277.0,2864969897.0,138798518.0,374373152.0,2927408257.0,2864939207.0,Asia,10828135.0,225.8115581083794,13.978407525612656,-81975421.0,26.80340982886343,80.70886997649582,11.97103893730196,,
Afghanistan,1978,0.044998427,12938862,Afghani,254,1618731870.0,,87058287.0,354814847.0,2883951161.0,194423174.0,437531071.0,437531071.0,2689527987.0,453333379.0,688846878.0,237719665.0,3222997856.0,156155903.0,422306672.0,3292593311.0,3222963833.0,Asia,12178537.0,249.09175420527708,12.496761715753912,-98518532.0,25.074691118943125,78.26797307153507,11.008961483434678,,
Afghanistan,1979,0.043730753,12986369,Afghani,285,1824507919.0,,98215848.0,424287344.0,3241236374.0,218509730.0,487588175.0,487588175.0,3022726644.0,522344151.0,776522761.0,268036272.0,3630809406.0,176271742.0,473526514.0,3707542111.0,3630767856.0,Asia,13728348.0,279.5829885936554,12.65307475139763,-98056807.0,26.072487488718142,81.22754762118511,11.68588466207904,,
Afghanistan,1980,0.044129167,12486631,Afghani,298,1833562539.0,,98532815.0,421868016.0,3268912030.0,220375496.0,482304575.0,482304575.0,3048536534.0,526287844.0,779480093.0,269014824.0,3646833941.0,176313390.0,476149507.0,3722131465.0,3646796868.0,Asia,13780773.0,292.05610929000784,0.441477192586448,-104419828.0,25.999689434854478,80.15917920384268,11.568179727854258,,
Afghanistan,1981,0.049479902,11155195,Afghani,314,1718724637.0,,92428356.0,391421266.0,3066531139.0,206731957.0,459513054.0,459513054.0,2859799183.0,489983587.0,732043180.0,252555248.0,3427516574.0,166095276.0,452727309.0,3498878174.0,3427482014.0,Asia,12942589.0,307.2543343258455,-6.013903760981298,-98562321.0,25.71581264029355,79.88456682733742,11.42008227617792,,
Afghanistan,1982,0.050599608,10088289,Afghani,341,1726519723.0,,93192698.0,396355483.0,3069066293.0,206902671.0,458169539.0,458169539.0,2862163623.0,492946310.0,735140420.0,253916138.0,3430693404.0,167551200.0,441377195.0,3444942467.0,3430645143.0,Asia,12996050.0,340.06213967502316,0.09228725306449359,-96590827.0,25.922290296172434,80.40540621959418,11.553380384116283,,
Afghanistan,1983,0.050599608,9951449,Afghani,342,1716473104.0,,91768952.0,392422843.0,3051150067.0,205694993.0,454250259.0,454250259.0,2845455074.0,489618656.0,727197612.0,250856628.0,3408226352.0,162736656.0,446336562.0,3406282147.0,3408204613.0,Asia,12856819.0,342.483251735501,-0.6541198248320224,-97195813.0,25.879945577082054,80.1486704379173,11.514063489708679,,
Afghanistan,1984,0.050599606,10243686,Afghani,329,1676305154.0,,90335802.0,387309317.0,3014873729.0,203249684.0,450192119.0,450192119.0,2811624045.0,483264293.0,717950348.0,247437834.0,3369144034.0,164358551.0,460061583.0,3367206173.0,3369110951.0,Asia,12694723.0,328.8963514695784,-1.1470456278031005,-95954976.0,25.839861692343536,80.14441013129021,11.495890833902074,,
Afghanistan,1985,0.050599605,10512221,Afghani,317,1693802362.0,,92428310.0,383698586.0,2980427397.0,200926508.0,444575108.0,444575108.0,2779500889.0,478235489.0,720657617.0,249752897.0,3330552065.0,166460923.0,394713652.0,3328583888.0,3330465681.0,Asia,12736305.0,316.8184611986373,-1.147046522422468,-94536903.0,25.880286949577485,80.23214395952117,11.520868934004188,,
Afghanistan,1986,0.050599605,10448442,Afghani,318,1676188805.0,,87033307.0,382241974.0,2972187313.0,200372077.0,443219663.0,443219663.0,2771815237.0,476760181.0,699386839.0,240333298.0,3320833313.0,147666606.0,457855785.0,3319025098.0,3320888887.0,Asia,12368653.0,317.8357966671012,-0.28755119906007653,-94518207.0,25.86663342946108,80.17489489123254,11.510230754673243,,
Afghanistan,1987,0.050599605,10322758,Afghani,289,1432221547.0,,78922216.0,343396018.0,2670212843.0,180014902.0,398399906.0,398399906.0,2490197941.0,428265396.0,633101618.0,217566618.0,2983799044.0,154022249.0,456766606.0,2982069940.0,2983743471.0,Asia,11198210.0,289.04518259558154,-10.152264272369793,-84869378.0,25.862190282108205,80.1829942851605,11.508898849300573,,
Afghanistan,1988,0.050599605,10383460,Afghani,261,1572889482.0,,66677753.0,312460283.0,2428768984.0,163733965.0,362286205.0,362286205.0,2265035019.0,389616063.0,485094989.0,161733198.0,2713843954.0,129944373.0,288932866.0,2712358824.0,2713899488.0,Asia,8571312.0,261.3675487746859,-9.043806400339172,-77155780.0,25.869651735606208,80.19697149909345,11.513332913823815,,
Afghanistan,1989,0.050599605,10673168,Afghani,299,2122790293.0,,75833378.0,367371146.0,2856286844.0,192562075.0,426055201.0,426055201.0,2663724769.0,458156222.0,497072474.0,167311186.0,3191457087.0,145277853.0,174399799.0,3189731619.0,3191557068.0,Asia,8772124.0,299.02621864473605,17.600415273743543,-90785076.0,25.865975459975697,80.18468992875535,11.510718378920117,,
Afghanistan,1990,0.050599605,10694796,Afghani,333,1509620075.0,,105122302.0,409739639.0,3185532001.0,214757900.0,475208015.0,475208015.0,2970774120.0,510968017.0,683514541.0,226200144.0,3559489503.0,205100157.0,817857446.0,3557507175.0,3559511736.0,Asia,12074857.0,332.8265201131466,11.529001680379803,-101228378.0,25.866122218061427,80.18890133391656,11.511119203681703,,
Afghanistan,1991,0.050599605,10745167,Afghani,316,1578756366.0,,107755544.0,451898050.0,3144186224.0,211948590.0,451305892.0,451305892.0,2932237634.0,644734732.0,680342026.0,230511087.0,3402654940.0,214466653.0,578743210.0,3400808720.0,3402654940.0,Asia,12080055.0,316.6684091554836,-4.406694165764091,-192836682.0,32.22873906808781,70.09053918937937,13.280748649758767,,7.942
Afghanistan,1992,0.050599605,12057433,Afghani,286,1867278379.0,,128566734.0,538992070.0,3317143798.0,223656310.0,452868098.0,452868098.0,3093487489.0,864291208.0,469309787.0,250966740.0,3444711434.0,244066746.0,476211165.0,3442784146.0,3444711414.0,Asia,8311863.0,285.6919390719401,1.235989976697427,-325299138.0,40.737324824853964,62.36232244537654,15.646944118727271,,7.94
Afghanistan,1993,0.050599605,14003760,Afghani,203,1743643917.0,,110788829.0,507296032.0,2841479970.0,191563945.0,370886233.0,370886233.0,2649916025.0,875217835.0,304797219.0,195244250.0,2844442641.0,123577407.0,361032994.0,2842735849.0,2844442641.0,Asia,5358026.0,203.11992214947986,-17.425807298701045,-367921803.0,48.604033952815435,57.96225941853665,17.83463743257813,,7.945
Afghanistan,1994,0.425099934,15455555,Afghani,111,1250142369.0,,62248410.0,354798182.0,1793838215.0,120873832.0,221231043.0,221231043.0,1672964383.0,654696712.0,139782856.0,97948199.0,1715169169.0,46857436.0,115736501.0,1714162001.0,1715169169.0,Asia,2453397.0,110.97428523272053,-39.70104567139345,-299898530.0,58.85687034524815,54.19275452234133,20.685900167320465,,7.947
Afghanistan,1995,0.833333333,16418912,Afghani,168,1829088268.0,,136694540.0,631234333.0,2983570664.0,201339451.0,352587313.0,352587313.0,2782231213.0,1210551146.0,153659543.0,204536716.0,2756838035.0,171773712.0,258354652.0,2755434126.0,2756838036.0,Asia,2730605.0,167.9062556641999,60.732718721111766,-579316813.0,66.80789567428907,52.14437531910775,22.897040912707432,,7.942
Afghanistan,1996,2.5000225,17106595,Afghani,156,1709038614.0,,140121479.0,672996346.0,2990856755.0,201511058.0,338414037.0,338414037.0,2789345697.0,1332477843.0,175969216.0,200892374.0,2633888330.0,183067281.0,221577974.0,2668648884.0,2669785634.0,Asia,3221394.0,156.067623860856,-3.157690109583211,-659481497.0,75.11742379088703,50.507132222535574,25.207879517715615,,7.934
Afghanistan,1997,3.00003,17788819,Afghani,164,1825434126.0,,158294608.0,797679423.0,3375758150.0,227197972.0,367733720.0,367733720.0,3148560178.0,1616577339.0,237385257.0,218333696.0,2862311421.0,209239991.0,209505537.0,2922683513.0,2924589326.0,Asia,4118206.0,164.40604213242037,9.5439756943422,-818897916.0,82.55028289055582,49.343721686302814,27.27492082079766,,7.932
Afghanistan,1998,3.000052503,18493132,Afghani,159,1782339866.0,,164266130.0,866499830.0,3496423195.0,236722323.0,365811290.0,365811290.0,3259700871.0,1793589592.0,298073135.0,217254726.0,2865878832.0,219899756.0,179010330.0,2932741740.0,2935139404.0,Asia,5034890.0,158.71510591066996,0.3607370753291095,-927089762.0,90.6290658077377,48.31093098805181,29.521590314215956,,7.939
Afghanistan,1999,46.61953108,19262847,Afghani,112,1265698035.0,,125854611.0,697281390.0,2669154263.0,178828421.0,265877102.0,265877102.0,2490325841.0,1475110911.0,287999806.0,157984681.0,2121126845.0,171143946.0,107371317.0,2156204880.0,2157197316.0,Asia,5074450.0,111.98746042057023,-26.504434063330095,-777829521.0,100.70438549535076,47.2697601787314,32.32348681449964,,7.942
Afghanistan,2000,47.35757473,19542982,Afghani,171,1914742125.0,,200732181.0,1145416949.0,4242373762.0,284430763.0,408699474.0,408699474.0,3957942999.0,2454448335.0,542605334.0,242965903.0,3332167837.0,275998149.0,144899935.0,3341542477.0,3342034168.0,Asia,10224209.0,171.00942773216494,54.92482505944301,-1309031386.0,107.71479593083562,46.66698144208442,34.27304723474629,,7.942
Afghanistan,2001,47.50001452,19688632,Afghani,183,1945443612.0,,225837212.0,1221308444.0,4612607837.0,317882489.0,478407037.0,478407037.0,4294725348.0,2713843393.0,675408325.0,241805465.0,3598470576.0,332989433.0,163018367.0,3598407195.0,3598470576.0,Asia,13968163.0,182.76894890411887,7.673063622609866,-1492534949.0,109.35623215166731,45.00290794782792,33.939653477939125,,7.942
Afghanistan,2002,47.263,21000256,Afghani,197,1869249676.0,,194441167.0,1261260259.0,4998433835.0,327354145.0,486380419.0,486380419.0,4671079690.0,2604548411.0,720338527.0,522756889.0,4099214501.0,410542963.0,372259947.0,4134295420.0,4141523943.0,Asia,9625331.0,197.21302173649693,15.091227106924098,-1343288152.0,93.3426613779207,48.42529529008628,30.45401345878444,,7.935
Afghanistan,2003,48.76275358,22645130,Afghani,209,1981633068.0,,216394293.0,1948898419.0,6269973449.0,438135689.0,537868146.0,537868146.0,5831837759.0,3799110373.0,691580599.0,676723389.0,4583535524.0,545463877.0,459477984.0,4721728965.0,4729042179.0,Asia,12262315.0,208.83263549381257,14.186039827030882,-1850211954.0,121.54699777314039,51.29881018594982,41.21127165357854,,7.929
Afghanistan,2004,47.8453125,23553551,Afghani,229,1918994249.0,,334068487.0,2026411122.0,7113840108.0,580194791.0,848865441.0,848865441.0,6533645317.0,4126999003.0,746469467.0,931380865.0,5120696899.0,649240547.0,518150929.0,5396722695.0,5388482107.0,Asia,22392354.0,228.77578446663944,13.944471270066883,-2100587881.0,114.19561210022961,49.10132327453824,37.606344082827256,,7.926
Afghanistan,2005,49.4945975,24411191,Afghani,255,2186379081.0,,443045556.0,2050736428.0,7928264732.0,716729109.0,1218149622.0,1218149622.0,7211535623.0,4272778289.0,772808251.0,1234847952.0,5865622689.0,611491972.0,581975221.0,6231622214.0,6220574147.0,Asia,35074654.0,254.82468868479216,15.442048864170044,-2222041861.0,101.65484033414576,47.99538588930515,32.9669959643357,,7.925
Afghanistan,2006,49.92533083,25442944,Afghani,281,2443549101.0,,538531877.0,2332699780.0,8709723113.0,907602355.0,1546774109.0,1546774109.0,7802120758.0,4474623611.0,790852547.0,1470249958.0,6625371513.0,675429220.0,654683177.0,7148304369.0,7104711445.0,Asia,52075633.0,279.24093395009635,14.2131140487473,-2141923831.0,95.81421347929212,52.131754149455325,32.833138939677234,,7.925
Afghanistan,2007,49.96201777,25903301,Afghani,364,3319287550.0,,545051819.0,2400553983.0,11413579056.0,1235347740.0,1650004354.0,1650004354.0,10178231316.0,4722015358.0,1036748730.0,1961638014.0,8753370467.0,919226924.0,887557606.0,9440635873.0,9412161765.0,Asia,83859823.0,363.3576185907734,32.47774857378462,-2321461375.0,75.6741067443819,50.83748783097456,25.50481008440254,,7.924
Afghanistan,2008,50.24961474,26427199,Afghani,389,3163666290.0,,526252391.0,2631650853.0,12732121887.0,1372350532.0,1618011573.0,1618011573.0,11359771355.0,4177772977.0,1075453417.0,2443453210.0,9427180755.0,1112310581.0,1006389996.0,10280097552.0,10236901594.0,Asia,99654870.0,387.36233809720056,8.762491015261475,-1546122124.0,66.51840664357958,62.99171514316586,25.707493901694335,,7.928
Afghanistan,2009,50.325,27385307,Afghani,422,3801533209.0,,543784753.0,2761955579.0,13372418203.0,1781408597.0,1718898802.0,1718898802.0,11591009606.0,4015329744.0,902301144.0,2955467307.0,10701592273.0,1311944740.0,1059964862.0,11562069957.0,11595133469.0,Asia,126596259.0,423.4071018082799,13.267997767958217,-1253374165.0,58.44939466302231,68.78527431345125,23.81995503875989,,7.923
Afghanistan,2010,46.452461,28189672,Afghani,522,4543989077.0,,624215548.0,2686043877.0,16987741968.0,2874647204.0,2117214423.0,2117214423.0,14113094764.0,5103524804.0,957689031.0,4363794020.0,13694680351.0,1659482584.0,1350038319.0,14724781634.0,14698889678.0,Asia,195471772.0,521.4281910765048,26.76774887756146,-2417480927.0,52.99426590471482,52.631151609075246,18.273787584243408,,7.921
Afghanistan,2011,46.74700774,29249157,Afghani,593,5175622743.0,,649582288.0,2096070881.0,19086246173.0,3318994429.0,2256544434.0,2256544434.0,15767251744.0,5750744471.0,1097137284.0,5514299435.0,16272128426.0,1847213864.0,1627418540.0,17331776170.0,17350694945.0,Asia,360854272.0,593.2032483876372,18.040854276013697,-3654673590.0,45.22478999759741,36.44868749724699,12.080616296029287,,7.918
Afghanistan,2012,50.9214,30466479,Afghani,629,5464645975.0,,672150413.0,2055179815.0,19713516488.0,3686536514.0,2455843943.0,2455843943.0,16026979974.0,7005630220.0,1060751259.0,6079761103.0,17775108419.0,2130882247.0,1971396240.0,19166775125.0,19136499341.0,Asia,395521180.0,628.1165388688335,10.292408469290848,-4950450405.0,47.348315245867305,29.33611610177164,10.739580831258786,,7.914
Afghanistan,2013,55.3775,31541209,Afghani,624,5470188987.0,,667480973.0,2455424003.0,19435606399.0,3838926186.0,2511890876.0,2511890876.0,15596680213.0,7026277186.0,916920660.0,6358588471.0,18102439244.0,2258928593.0,2031874139.0,19690262077.0,19621802455.0,Asia,398457421.0,622.1005179287832,2.5360077898899602,-4570853183.0,48.32227421892063,34.94630140542252,12.513753558732379,,7.914
Afghanistan,2014,57.2475,32716210,Afghani,598,5372356458.0,,682280348.0,2772039928.0,19395964676.0,4145849262.0,2547714147.0,2547714147.0,15250115414.0,6352479894.0,837661844.0,6981406780.0,18359993635.0,2079703497.0,1986314259.0,19548440117.0,19550702567.0,Asia,420270449.0,597.5845786232574,-0.3623514616613699,-3580439966.0,46.67105844779946,43.63713029014429,14.17872282850325,,7.91
Afghanistan,2015,61.14346154,33753499,Afghani,559,4777856295.0,,679236545.0,3037082983.0,19126816049.0,4149160995.0,2564175617.0,2564175617.0,14977655054.0,6209330331.0,744252334.0,6968190068.0,17522092768.0,1899054376.0,1986447285.0,18882219776.0,18713048410.0,Asia,467055866.0,554.4032163895067,-4.284522022312853,-3172247348.0,49.41158228960089,48.91160271885364,16.229760734103717,,9.002
Afghanistan,2016,67.86608577,34636207,Afghani,525,4638290864.0,,589868586.0,3002518992.0,18591863124.0,4145467774.0,2266927660.0,2266927660.0,14446395349.0,5841751767.0,741360053.0,7073713417.0,17160084571.0,1583226772.0,1978781016.0,18199126228.0,18019558182.0,Asia,554843863.0,520.2520640323,-3.7059179926526964,-2839232775.0,49.08150726933289,51.39757921521419,16.66255610528376,,10.092
Afghanistan,2017,68.02690408,35643418,Afghani,537,4992453824.0,,594893889.0,4440910058.0,17932956296.0,4019923168.0,2552410075.0,2552410075.0,13913033128.0,6029924407.0,667121057.0,7199679731.0,17913941649.0,1574009084.0,2248361513.0,19145017023.0,18896352021.0,Asia,637422549.0,530.1498307766107,4.865789883105132,-1589014349.0,55.41193587716556,73.64785622925307,23.50141473372587,,11.18
Afghanistan,2018,72.08324718,36686784,Afghani,507,4060047714.0,,663723185.0,3074840238.0,19961689604.0,3658110195.0,2782928254.0,2782928254.0,16303579410.0,7400609629.0,1134633696.0,7232891365.0,17480877592.0,1601011390.0,2121150414.0,18610257350.0,18418848300.0,Asia,667419828.0,502.0567706343516,-2.526962455342374,-4325769391.0,56.87353354769744,41.548472249515,16.693987527982408,,11.131
Afghanistan,2019,77.73794918,37769499,Afghani,508,4872437789.0,,584313409.0,2305836637.0,22659390021.0,4583995509.0,2190726124.0,2190726124.0,18075394513.0,8251463946.0,1331477482.0,6907644920.0,18016903621.0,1503540176.0,2075666252.0,19205014965.0,18904490263.0,Asia,741823593.0,500.52266414759697,2.636657597098502,-5945627309.0,55.845465474743975,27.944576284766814,12.197296012328877,0.488,11.082
Afghanistan,2020,76.81353644,38972230,Afghani,522,5402592033.0,,620058680.0,1476056243.0,23256995875.0,4265058155.0,2393445329.0,2393445329.0,18991937720.0,6983058259.0,1546262619.0,7098671034.0,19245174810.0,1929932938.0,1987510840.0,20332383762.0,20143441792.0,Asia,660146666.0,516.866542971752,6.553742056853462,-5507002016.0,41.994385017954336,21.13767619076655,7.327726106797787,0.483,11.71
