ds,y,yhat,Lower,Upper
1970,637976080854.0,76991300000.0,69292170000.0,84690430000.0
1971,724266897066.0,561016500000.0,504914800000.0,617118100000.0
1972,873936884776.0,1041184850000.0,937066360000.0,1145303300000.0
1973,1134325814453.0,971522830000.0,874370500000.0,1068675200000.0
1974,1285878283181.0,1223117400000.0,1100805600000.0,1345429200000.0
1975,1493975444589.0,1470928300000.0,1323835500000.0,1618021000000.0
1976,1558770195965.0,1801325600000.0,1621193000000.0,1981458300000.0
1977,1771505277323.0,1698974100000.0,1529076600000.0,1868871600000.0
1978,2170271189743.0,2050928400000.0,1845835500000.0,2256021200000.0
1979,2628241801137.0,2322626200000.0,2090363500000.0,2554889000000.0
1980,2942175001616.0,2590435200000.0,2331391600000.0,2849478800000.0
1981,2558130327484.0,2393454000000.0,2154108400000.0,2632799200000.0
1982,2475971086143.0,2659794300000.0,2393814900000.0,2925773700000.0
1983,2415660875601.0,2922233500000.0,2630010000000.0,3214457000000.0
1984,2317446505445.0,3289391800000.0,2960452500000.0,3618331200000.0
1985,2381001972113.0,3207526400000.0,2886773800000.0,3528279000000.0
1986,3343588519150.0,3643660000000.0,3279294000000.0,4008026000000.0
1987,4133772642688.0,4198873200000.0,3778985900000.0,4618761000000.0
1988,4544178702811.0,4749821000000.0,4274839000000.0,5224803600000.0
1989,4647983485688.0,4794816700000.0,4315334800000.0,5274298500000.0
1990,5906235183267.0,5284608000000.0,4756147300000.0,5813069000000.0
1991,6134002565558.0,5759686000000.0,5183717000000.0,6335654500000.0
1992,6747284436682.0,6049935400000.0,5444941600000.0,6654929000000.0
1993,6166917841620.0,5880183000000.0,5292164600000.0,6468201300000.0
1994,6519941169144.0,6184815000000.0,5566333000000.0,6803296400000.0
1995,7518720993811.0,6493592600000.0,5844233000000.0,7142952000000.0
1996,7612904730323.0,6798449300000.0,6118604000000.0,7478294600000.0
1997,6949616127344.0,6766812000000.0,6090131000000.0,7443493400000.0
1998,7148883205588.0,7230091400000.0,6507082000000.0,7953101000000.0
1999,7109560644733.0,7688986600000.0,6920088000000.0,8457885300000.0
2000,6471217709592.0,8144012000000.0,7329610700000.0,8958414000000.0
2001,6591061072511.0,8139850000000.0,7325864700000.0,8953836000000.0
2002,7161908436845.0,8602463500000.0,7742217000000.0,9462711000000.0
2003,8841164251181.0,9061468000000.0,8155321000000.0,9967615000000.0
2004,10147694477632.0,9517122000000.0,8565410000000.0,10468835000000.0
2005,10529478871284.0,9512250000000.0,8561025400000.0,10463476000000.0
2006,11180121523970.0,9974870000000.0,8977382000000.0,10972357000000.0
2007,12872139993418.0,10433815000000.0,9390433000000.0,11477196000000.0
2008,14126881442427.0,10889570000000.0,9800612000000.0,11978527000000.0
2009,12912400424054.0,10884810000000.0,9796329000000.0,11973292000000.0
2010,12647259733068.0,11348707000000.0,10213836000000.0,12483577000000.0
2011,13637263953285.0,11807624000000.0,10626862000000.0,12988387000000.0
2012,12656624498248.0,12262594000000.0,11036335000000.0,13488853000000.0
2013,13214627769312.0,12257904000000.0,11032113000000.0,13483694000000.0
2014,13510792508047.0,12720627000000.0,11448564000000.0,13992690000000.0
2015,11705356741420.0,13179468000000.0,11861521000000.0,14497415000000.0
2016,11991516461779.0,13635844000000.0,12272259000000.0,14999429000000.0
2017,12701546701485.0,13630796000000.0,12267716000000.0,14993876000000.0
2018,13714329006369.0,14093519000000.0,12684167000000.0,15502871000000.0
2019,13441748307935.0,14552495000000.0,13097246000000.0,16007745000000.0
2020,13117252915341.0,15007575000000.0,13506818000000.0,16508333000000.0
2021,14596717166374.0,15003469000000.0,13503121000000.0,16503817000000.0
2022,,15466085000000.0,13919476000000.0,17012694000000.0
2023,,15924931000000.0,14332438000000.0,17517425000000.0
2024,,16381178000000.0,14743060000000.0,18019296000000.0
2025,,16377129000000.0,14739415000000.0,18014842000000.0
2026,,16839831000000.0,15155847000000.0,18523814000000.0
