Country,Latitude,Longitude,GDP_pc,Population
Afghanistan,33.7680065,66.2385139,372.5488747704396,40099462.0
Albania,41.000028,19.9999619,6396.461812233117,2854710.0
Algeria,28.0000272,2.9999825,3689.6218565412096,44177969.0
Andorra,42.5407167,1.5732033,42066.04156439001,79034.0
Angola,-11.8775768,17.5691241,2044.2182115208611,34503774.0
Anguilla,18.1954947,-63.0750234,19216.32800101568,15753.0
Antigua and Barbuda,17.2234721,-61.9554608,15245.818985399972,93219.0
Argentina,-34.9964963,-64.9672817,10756.065250223182,45276780.0
Armenia,40.7696272,44.6736646,4966.51667554051,2790974.0
Australia,-24.7761086,134.755,66741.02311056454,25921089.0
Austria,47.59397,14.12456,53799.10204815423,8922082.0
Azerbaijan,40.3936294,47.7872508,5296.443211727498,10312992.0
Bahamas,24.7736546,-78.0000547,27478.389628983143,407906.0
Bahrain,26.1551249,50.5344606,26562.97404297923,1463265.0
Bangladesh,24.4769288,90.2934413,2450.455755542203,169356251.0
Barbados,13.1500331,-59.5250305,17225.462304409673,281200.0
Belarus,53.4250605,27.6971358,7121.004688788576,9578167.0
Belgium,50.6402809,4.6667145,51156.53823189052,11611419.0
Belize,17.1204943,-88.6859028,6228.700853183878,400031.0
Benin,9.5293472,2.2584408,1360.9114742405782,12996895.0
Bermuda,32.2937417,-64.7815286,112652.6463503934,64185.0
Bhutan,27.549511,90.5119273,3062.914975960982,777486.0
Bolivia,-17.0568696,-64.9912286,,
Bosnia and Herzegovina,44.3053476,17.5961467,7143.283962453641,3270943.0
Botswana,-23.1681782,24.5928742,6805.247712603388,2588423.0
Brazil,-10.3333333,-53.2,7511.913276239651,214326223.0
British Virgin Islands,18.4024395,-64.5661642,49443.86887089519,31122.0
Brunei Darussalam,4.4137155,114.5653908,31448.91360724606,445373.0
Bulgaria,42.6073975,25.4856617,12207.25771493151,6885868.0
Burkina Faso,12.0753083,-1.6880314,893.0771959853006,22100683.0
Burundi,-3.426449,29.9324519,310.70684427074895,12551213.0
Cabo Verde,16.0000552,-24.0083947,3293.233322277501,587925.0
Cambodia,12.5433216,104.8144914,1607.6589285577577,16589023.0
Cameroon,4.6125522,13.1535811,1668.0124101848078,27198628.0
Canada,61.0666922,-107.991707,52155.66437248139,38155012.0
Cayman Islands,19.703182249999998,-79.9174627243246,85250.26524891394,68136.0
Central African Republic,7.0323598,19.9981227,461.3610132680881,5457154.0
Chad,15.6134137,19.0156172,955.169672591087,17179740.0
Chile,-31.7613365,-71.3187697,16262.09448389755,19493184.0
China,35.000074,104.999927,12413.269598651255,1425893465.0
Colombia,4.099917,-72.9088133,6095.127233063417,51516562.0
Comoros,-12.2045176,44.2832964,1631.4845531720675,821625.0
Congo,-2.9814344,23.8222636,2200.3177752995903,5835806.0
Cook Islands,-19.99697155,-157.78587140620786,19263.89001940834,17003.0
Costa Rica,10.2735633,-84.0739102,12472.443327330826,5153957.0
Croatia,45.3658443,15.6575209,16983.44731714586,4060135.0
Cuba,23.0131338,-80.8328748,11282.498481748826,11256372.0
Cyprus,34.9823018,33.1451285,32280.928827264583,880028.0
Czechia,49.7439047,15.3381061,26829.67182839742,10510751.0
Côte d'Ivoire,7.9897371,-5.5679458,2538.9110714077888,27478249.0
Denmark,55.670249,10.3333283,67984.91349859248,5854240.0
Djibouti,11.8145966,42.8453061,3348.01339143979,1105557.0
Dominica,15.4113138,-61.3653618,7570.783778931669,72412.0
Dominican Republic,19.0974031,-70.3028026,8476.749688272208,11117873.0
Ecuador,-1.3397668,-79.3666965,5955.813371104428,17797737.0
Egypt,26.2540493,29.2675469,3898.8788965931103,109262178.0
El Salvador,13.8000382,-88.9140683,4551.184796822764,6314167.0
Equatorial Guinea,1.613172,10.5170357,7605.453385998852,1634466.0
Eritrea,15.9500319,37.9999668,622.9821402133297,3620312.0
Estonia,58.7523778,25.3319078,27990.621029110385,1328701.0
Eswatini,-26.5624806,31.3991317,3968.905959299522,1192271.0
Ethiopia,10.2116702,38.6521203,825.2911140762288,120283026.0
Fiji,-18.1239696,179.0122737,4646.537920853117,924610.0
Finland,63.2467777,25.9209164,53648.92145797898,5535992.0
France,46.603354,1.8883335,44261.09783103724,66875883.0
Gabon,-0.8999695,11.6899699,7910.846082678855,2341179.0
Gambia,13.470062,-15.4900464,772.1514525462173,2639916.0
Georgia,41.6808672,44.0287806,4975.124920835129,3757980.0
Germany,51.1638175,10.4478313,51073.898247894336,83408554.0
Ghana,8.0300284,-1.0800271,2408.634902638139,32833031.0
Greece,38.9953683,21.9877132,20583.29220663902,10445365.0
Greenland,77.6192349,-42.8125967,58185.24074107,56243.0
Grenada,12.1360374,-61.6904045,8950.228561110665,124610.0
Guatemala,15.5855545,-90.345759,4883.207815971427,17608483.0
Guinea,10.7226226,-10.7083587,1185.059140079749,13531906.0
Guinea-Bissau,11.815215,-15.2351044,758.5521198648435,2060721.0
Guyana,4.8417097,-58.6416891,9998.54545239862,804567.0
Haiti,19.1399952,-72.3570972,1663.562062216004,11447569.0
Honduras,15.2572432,-86.0755145,2771.7226164328986,10278345.0
Hungary,47.1817585,19.5060937,18743.976437791727,9709786.0
Iceland,64.9841821,-18.1059013,69133.13408130477,370335.0
India,22.3511148,78.6677428,2273.431516579125,1407563842.0
Indonesia,-2.4833826,117.8902853,4346.981292356881,273753191.0
Iran,32.6475314,54.5643516,,
Iraq,33.0955793,44.1749775,4686.036475005325,43533592.0
Ireland,52.865196,-7.9794599,101072.36982219684,4986526.0
Israel,30.8124247,34.8594762,54156.94435284081,8900059.0
Italy,42.6384261,12.674297,35617.62798447659,59240329.0
Jamaica,18.1850507,-77.3947693,5183.580141422607,2827695.0
Japan,36.5748441,139.2394179,39642.88342432338,124612530.0
Jordan,31.1667049,36.941628,4058.354301175482,11148278.0
Kazakhstan,48.1012954,66.7780818,10053.934409277956,19196465.0
